Time,Recipientid,Balance
1705436550129746,99,1
1705436550129746,98,1
1705436550129746,1,1
1705436550129746,0,1
1705436551133826,99,1
1705436551133826,98,1
1705436551133826,1,1
1705436551133826,0,1
1705436552133904,99,1
1705436552133904,98,1
1705436552133904,1,1
1705436552133904,0,1
1705436553133979,99,1
1705436553133979,98,1
1705436553133979,1,1
1705436553133979,0,1
1705436554134066,99,1
1705436554134066,98,1
1705436554134066,1,1
1705436554134066,0,1
1705436555134144,99,1
1705436555134144,98,1
1705436555134144,1,1
1705436555134144,0,1
1705436556134221,99,1
1705436556134221,98,1
1705436556134221,1,1
1705436556134221,0,1
1705436557134296,99,1
1705436557134296,98,1
1705436557134296,1,1
1705436557134296,0,1
1705436558134371,99,1
1705436558134371,98,1
1705436558134371,1,1
1705436558134371,0,1
1705436559134446,99,1
1705436559134446,98,1
1705436559134446,1,1
1705436559134446,0,1
1705436560134520,99,1
1705436560134520,98,1
1705436560134520,1,1
1705436560134520,0,1
1705436561134596,99,1
1705436561134596,98,1
1705436561134596,1,1
1705436561134596,0,1
1705436562134674,99,1
1705436562134674,98,1
1705436562134674,1,1
1705436562134674,0,1
1705436563134750,99,1
1705436563134750,98,1
1705436563134750,1,1
1705436563134750,0,1
1705436564134824,99,1
1705436564134824,98,1
1705436564134824,1,1
1705436564134824,0,1
1705436565134913,99,1
1705436565134913,98,1
1705436565134913,1,1
1705436565134913,0,1
1705436566134989,99,1
1705436566134989,98,1
1705436566134989,1,1
1705436566134989,0,1
1705436567135068,99,1
1705436567135068,98,1
1705436567135068,1,1
1705436567135068,0,1
1705436568135146,99,1
1705436568135146,98,1
1705436568135146,1,1
1705436568135146,0,1
1705436569135224,99,1
1705436569135224,98,1
1705436569135224,1,1
1705436569135224,0,1
1705436570135303,99,1
1705436570135303,98,1
1705436570135303,1,1
1705436570135303,0,1
1705436571135379,99,1
1705436571135379,98,1
1705436571135379,1,1
1705436571135379,0,1
1705436572135457,99,1
1705436572135457,98,1
1705436572135457,1,1
1705436572135457,0,1
1705436573135539,99,1
1705436573135539,98,1
1705436573135539,1,1
1705436573135539,0,1
1705436574135617,99,1
1705436574135617,98,1
1705436574135617,1,1
1705436574135617,0,1
1705436575135697,99,1
1705436575135697,98,1
1705436575135697,1,1
1705436575135697,0,1
1705436576135778,99,1
1705436576135778,98,1
1705436576135778,1,1
1705436576135778,0,1
1705436577135871,99,1
1705436577135871,98,1
1705436577135871,1,1
1705436577135871,0,1
1705436578135952,99,1
1705436578135952,98,1
1705436578135952,1,1
1705436578135952,0,1
1705436579136030,99,1
1705436579136030,98,1
1705436579136030,1,1
1705436579136030,0,1
1705436580136110,99,1
1705436580136110,98,1
1705436580136110,1,1
1705436580136110,0,1
1705436581136189,99,1
1705436581136189,98,1
1705436581136189,1,1
1705436581136189,0,1
1705436582136268,99,1
1705436582136268,98,1
